도로명코드,도로명,도로명로마자,읍면동일련번호,시도명,시도명로마자,시군구명,시군구명로마자,읍면동명,읍면동명로마자,읍면동구분,읍면동코드
411114322151,수성로304번길,"Suseong-ro 304beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322152,수성로316번길,"Suseong-ro 316beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322152,수성로316번길,"Suseong-ro 316beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322153,수성로327번길,"Suseong-ro 327beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322153,수성로327번길,"Suseong-ro 327beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322154,수성로328번길,"Suseong-ro 328beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322154,수성로328번길,"Suseong-ro 328beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322155,수성로339번길,"Suseong-ro 339beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322155,수성로339번길,"Suseong-ro 339beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322156,수성로340번길,"Suseong-ro 340beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322156,수성로340번길,"Suseong-ro 340beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322157,수성로349번길,"Suseong-ro 349beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322157,수성로349번길,"Suseong-ro 349beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322158,수성로350번길,"Suseong-ro 350beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322158,수성로350번길,"Suseong-ro 350beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322159,수성로363번길,"Suseong-ro 363beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322159,수성로363번길,"Suseong-ro 363beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322160,수성로364번길,"Suseong-ro 364beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322160,수성로364번길,"Suseong-ro 364beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322161,수성로370번길,"Suseong-ro 370beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322161,수성로370번길,"Suseong-ro 370beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322162,수성로381번길,"Suseong-ro 381beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322162,수성로381번길,"Suseong-ro 381beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322163,수성로382번길,"Suseong-ro 382beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322163,수성로382번길,"Suseong-ro 382beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322164,수성로394번길,"Suseong-ro 394beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322164,수성로394번길,"Suseong-ro 394beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322165,수성로402번길,"Suseong-ro 402beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322165,수성로402번길,"Suseong-ro 402beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322166,수성로427번길,"Suseong-ro 427beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322166,수성로427번길,"Suseong-ro 427beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322167,수원천로391번길,"Suwoncheon-ro 391beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322167,수원천로391번길,"Suwoncheon-ro 391beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322168,수원천로392번길,"Suwoncheon-ro 392beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322168,수원천로392번길,"Suwoncheon-ro 392beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",연무동,Yeonmu-dong,1,137
411114322169,수원천로406번길,"Suwoncheon-ro 406beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322169,수원천로406번길,"Suwoncheon-ro 406beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",연무동,Yeonmu-dong,1,137
411114322170,수원천로407번길,"Suwoncheon-ro 407beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322170,수원천로407번길,"Suwoncheon-ro 407beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",영화동,Yeonghwa-dong,1,134
411114322171,수원천로414번길,"Suwoncheon-ro 414beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
